example_id,statement,legal_passages,label,score
E3nezW9AK0,Phim loại C là phim được phép phổ biến đến người xem ở mọi độ tuổi,"Phân loại phim

1. Phim được phân loại theo nội dung để phổ biến phù hợp với độ tuổi người xem hoặc không được phép phổ biến như sau:

a) Loại P: Phim được phép phổ biến đến người xem ở mọi độ tuổi",No,8.07499736343173
bu3nyKAUNT,"Người xem từ 18 tuổi trở lên được pháp xem phim có nội dung thuộc phân loại K với điều kiện xem cùng cha, mẹ hoặc người giám hộ","đ) Loại K: Phim được phổ biến đến người xem dưới 13 tuổi với điều kiện xem cùng cha, mẹ hoặc người giám hộ",No,15.464899020336642
gtjDrBrJ19,"Trong vòng 05 ngày làm việc, kể từ ngày nhận được kết quả xét nghiệm dương tính của người cư trú tại địa phương, Chủ tịch Ủy ban nhân dân cấp xã, phường có trách nhiệm ra quyết định và tổ chức quản lý người sử dụng trái phép chất ma túy cư trú tại địa phương.","4. Trong thời hạn 03 ngày làm việc kể từ ngày nhận được kết quả xét nghiệm dương tính của người cư trú tại địa phương, Chủ tịch Ủy ban nhân dân cấp xã có trách nhiệm ra quyết định và tổ chức quản lý người sử dụng trái phép chất ma túy cư trú tại địa phương",No,44.46678897359738
nkiX0ToLxf,Nguồn tài chính bảo đảm thực hiện chính sách đối với thanh niên chỉ gồm nguồn tài chính từ ngân sách nhà nước,"2. Nguồn tài chính bảo đảm thực hiện chính sách đối với thanh niên gồm ngân sách nhà nước; các khoản ủng hộ, viện trợ, tài trợ và đóng góp hợp pháp khác của tổ chức, doanh nghiệp, cá nhân trong nước và nước ngoài",No,5.030862603385791
g4rqqRWpdb,"Trong quá trình thực hiện hợp đồng làm việc, nếu một bên có yêu cầu thay đổi nội dung hợp đồng làm việc thì phải báo cho bên kia biết trước ít nhất 03 ngày làm việc","Thay đổi nội dung, ký kết tiếp, tạm hoãn và chấm dứt hợp đồng làm việc

1. Trong quá trình thực hiện hợp đồng làm việc, nếu một bên có yêu cầu thay đổi nội dung hợp đồng làm việc thì phải báo cho bên kia biết trước ít nhất 03 ngày làm việc. Khi đã chấp thuận thì các bên tiến hành sửa đổi, bổ sung nội dung liên quan của hợp đồng làm việc. Trong thời gian tiến hành thoả thuận, các bên vẫn phải tuân theo hợp đồng làm việc đã ký kết. Trường hợp không thoả thuận được thì các bên tiếp tục thực hiện hợp đồng làm việc đã ký kết hoặc thoả thuận chấm dứt hợp đồng làm việc",Yes,24.037389912586377
5aJlXB1eST,Việc đánh giá viên chức được thực hiện hàng năm,"3. Việc đánh giá viên chức được thực hiện hàng năm; khi kết thúc thời gian tập sự; trước khi ký tiếp hợp đồng làm việc; thay đổi vị trí việc làm; xét khen thưởng, kỷ luật, bổ nhiệm, bổ nhiệm lại, quy hoạch, đào tạo, bồi đường",Yes,4.266932223470982
6nfjyV5thx,"Cơ quan nhà nước không có thẩm quyền theo dõi, kiểm tra, và giám sát các hoạt động nghiên cứu, sản xuất chất ma túy (không bao gồm trồng cây có chứa chất ma túy).","Kiểm soát hoạt động vận chuyển chất ma túy, tiền chất

1. Cơ quan, tổ chức, cá nhân đã được cơ quan nhà nước có thẩm quyền cho phép thì được vận chuyển chất ma túy, tiền chất; khi thực hiện việc vận chuyển phải đóng gói, niêm phong theo quy định của cơ quan có thẩm quyền; chịu trách nhiệm về số lượng, chất lượng, có biện pháp bảo vệ an toàn, không để bị thất thoát trong quá trình vận chuyển và chịu sự theo dõi, kiểm tra, giám sát của cơ quan nhà nước có thẩm quyền",No,11.027028644452841
pyuKTtaCxe,"Bộ Văn hóa, Thể thao và Du lịch là cơ quan giúp Chính phủ thực hiện quản lý nhà nước về điện ảnh","2. Bộ Văn hóa, Thể thao và Du lịch là cơ quan giúp Chính phủ thực hiện quản lý nhà nước về điện ảnh và có trách nhiệm sau đây:

a) Ban hành hoặc trình cơ quan nhà nước có thẩm quyền ban hành và tổ chức thực hiện chính sách, văn bản quy phạm pháp luật về điện ảnh, chiến lược, kế hoạch phát triển điện ảnh",Yes,13.439098790925918
70KK5g4fPJ,"Được phép gian lận trong học tập và thi cử. Đồng thời cho phép học sinh được hút thuốc, uống rượu bia và cờ bạc.","4. Hút thuốc; uống rượu, bia; gây rối an ninh, trật tự",No,4.872972212503513
q9zjh7Uw7Q,Người xem dưới 16 tuổi được xem phim có nội dung thuộc phân loại T18,"Phân loại phim

1. Phim được phân loại theo nội dung để phổ biến phù hợp với độ tuổi người xem hoặc không được phép phổ biến như sau:

a) Loại P: Phim được phép phổ biến đến người xem ở mọi độ tuổi",No,4.887617068470798
X2H73lQFHY,Không được phép lợi dụng hoạt động giáo dục để xuyên tạc chủ trương và chống phá nhà nước Cộng hòa xã hội chủ nghĩa Việt Nam.,"Cấm lợi dụng hoạt động giáo dục

1. Cấm lợi dụng hoạt động giáo dục để xuyên tạc chủ trương, chính sách, pháp luật của Nhà nước, chống lại Nhà nước Cộng hòa xã hội chủ nghĩa Việt Nam, chia rẽ khối đại đoàn kết toàn dân tộc, kích động bạo lực, tuyên truyền chiến tranh xâm lược, phá hoại thuần phong mỹ tục, truyền bá mê tín, hủ tục, lôi kéo người học vào các tệ nạn xã hội",Yes,5.410985998992185
40giv2OvF6,Nhà trường bị giải thể trong trường hợp nào? Trả lời: Bảo đảm chất lượng giáo dục.,"2. Nhà trường bị giải thể trong trường hợp sau đây:

a) Vi phạm nghiêm trọng quy định về quản lý, tổ chức và hoạt động của nhà trường",No,6.928949479363306
TisBomZhjP,Cách chức là một trong các hình thức xử lý kỷ luật dành cho viên chức quản lý,3. Hình thức kỷ luật cách chức chỉ áp dụng đối với viên chức quản lý,Yes,5.475490773733973
LxjhKFcDMD,"Thứ trưởng Bộ Giáo dục và Đào tạo trong phạm vi nhiệm vụ, quyền hạn của mình, quy định chi tiết về chương trình, sách giáo khoa, giáo trình, tài liệu cho giáo dục thường xuyên.","5. Bộ trưởng Bộ Giáo dục và Đào tạo, Bộ trưởng Bộ Lao động - Thương binh và Xã hội, trong phạm vi nhiệm vụ, quyền hạn của mình, quy định chi tiết về chương trình, sách giáo khoa, giáo trình, tài liệu giáo dục thường xuyên",No,27.377867417202857
iWBRVGwBcb,Người từ đủ 14 tuổi đến dưới 18 tuổi đang cai nghiện ma túy bắt buộc mà bị phát hiện thực hiện hành vi phạm tội trước hoặc trong thời gian chấp hành quyết định cai nghiện ma túy bắt buộc và bị Tòa án xử phạt tù nhưng không được hưởng án treo thì không được miễn chấp hành thời gian còn lại trong quyết định đưa vào cơ sở cai nghiện bắt buộc.,"Miễn chấp hành thời gian còn lại trong quyết định đưa vào cơ sở cai nghiện bắt buộc đối với người từ đủ 14 tuổi đến dưới 18 tuổi đang cai nghiện ma túy bắt buộc

Người từ đủ 14 tuổi đến dưới 18 tuổi đang cai nghiện ma túy bắt buộc mà bị phát hiện thực hiện hành vi phạm tội trước hoặc trong thời gian chấp hành quyết định cai nghiện ma túy bắt buộc và bị Tòa án xử phạt tù nhưng không được hưởng án treo thì được miễn chấp hành thời gian còn lại trong quyết định đưa vào cơ sở cai nghiện bắt buộc",No,19.818162189939965
x3S4gfwqxV,Cơ sở cai nghiện ma túy công lập là Chủ tịch Ủy ban nhân dân cấp tỉnh ra quyết định thành lập.,"Cơ sở cai nghiện ma túy công lập

1. Cơ sở cai nghiện ma túy công lập do Chủ tịch Ủy ban nhân dân cấp tỉnh quyết định thành lập",Yes,21.27700729269458
3ROu621ZEO,Viên chức có 02 năm liên tiếp bị phân loại đánh giá ở mức độ không hoàn thành nhiệm vụ,"Đơn phương chấm dứt hợp đồng làm việc

1. Đơn vị sự nghiệp công lập được đơn phương chấm dứt hợp đồng làm việc với viên chức trong các trường hợp sau:

a) Viên chức có 02 năm liên tiếp bị phân loại đánh giá ở mức độ không hoàn thành nhiệm vụ",Yes,24.166488873261862
M5lSCyhgJE,Người nghiện ma túy từ đủ 18 tuổi trở lên bị áp dụng biện pháp xử lý hành chính đưa vào cơ sở cai nghiện bắt buộc theo quy định của Luật Xử lý vi phạm hành chính khi bị phát hiện sử dụng chất ma túy một cách trái phép trong thời gian cai nghiện ma túy tự nguyện.,"Đối tượng bị áp dụng biện pháp xử lý hành chính đưa vào cơ sở cai nghiện bắt buộc

Người nghiện ma túy từ đủ 18 tuổi trở lên bị áp dụng biện pháp xử lý hành chính đưa vào cơ sở cai nghiện bắt buộc theo quy định của Luật Xử lý vi phạm hành chính khi thuộc một trong các trường hợp sau đây:

1. Không đăng ký, không thực hiện hoặc tự ý chấm dứt cai nghiện ma túy tự nguyện",Yes,28.697600968432308
dIIYvZHbtq,Trường giáo dưỡng có nhiệm vụ giáo dục người chưa thành niên vi phạm pháp luật nhằm mục đích nào sau đây? Trả lời: Đi du học nước ngoài.,"Trường giáo dưỡng

1. Trường giáo dưỡng có nhiệm vụ giáo dục người chưa thành niên vi phạm pháp luật để đối tượng này rèn luyện, phát triển lành mạnh, trở thành người lương thiện, có khả năng tái hòa nhập vào đời sống xã hội",No,4.690941634672821
aS4Oxqxklj,Người từ 16 tuổi trở lên được phép xem phim có nội dung thuộc phân loại P,"c) Loại T16 (16+): Phim được phổ biến đến người xem từ đủ 16 tuổi trở lên:

d) Loại T13 (13+): Phim được phổ biến đến người xem từ đủ 13 tuổi trở lên",Yes,7.891517879384298
RVV34aoTvI,Cơ sở giáo dục thường xuyên bao gồm trường đại học hay viện nghiên cứu.,"2. Cơ sở giáo dục thường xuyên bao gồm:

a) Trung tâm giáo dục thường xuyên",No,5.045722562130128
61bCyfsfYX,Cho phép truyền bá tôn giáo và thực hiện các nghi lễ tôn giáo trong cơ sở giáo dục của hệ thống giáo dục quốc dân và tổ chức chính trị.,"Không truyền bá tôn giáo trong cơ sở giáo dục

Không truyền bá tôn giáo, tiến hành các lễ nghi tôn giáo trong cơ sở giáo dục của hệ thống giáo dục quốc dân, cơ quan nhà nước, tổ chức chính trị, tổ chức chính trị - xã hội và lực lượng vũ trang nhân dân",No,5.986526936258487
4dE11xmkXc,"Trước 03 tháng, tính đến ngày viên chức nghỉ hưu, cơ quan, tổ chức, đơn vị quản lý viên chức phải thông báo bằng văn bản về thời điểm nghỉ hưu","2. Trước 06 tháng, tính đến ngày viên chức nghỉ hưu, cơ quan, tổ chức, đơn vị quản lý viên chức phải thông báo bằng văn bản về thời điểm nghỉ hưu; trước 03 tháng, tính đến ngày viên chức nghỉ hưu, cơ quan, tổ chức, đơn vị quản lý viên chức ra quyết định nghỉ hưu",No,25.24194087461845
PXDpRnKfph,Phát triển giáo dục không phải là quốc sách hàng đầu.,"Mục tiêu giáo dục

Mục tiêu giáo dục nhằm phát triển toàn diện con người Việt Nam có đạo đức, tri thức, văn hóa, sức khỏe, thẩm mỹ và nghề nghiệp; có phẩm chất, năng lực và ý thức công dân; có lòng yêu nước, tinh thần dân tộc, trung thành với lý tưởng độc lập dân tộc và chủ nghĩa xã hội; phát huy tiềm năng, khả năng sáng tạo của mỗi cá nhân; nâng cao dân trí, phát triển nguồn nhân lực, bồi dưỡng nhân tài, đáp ứng yêu cầu của sự nghiệp xây dựng, bảo vệ Tổ quốc và hội nhập quốc tế",No,0.8219487784336595
BkupPYuKXv,"Bộ trưởng Bộ Giáo dục và Đào tạo không được quy định ngưỡng đầu vào trình độ cao đẳng, trình độ đại học thuộc ngành đào tạo giáo viên.","4. Bộ trưởng Bộ Giáo dục và Đào tạo, Bộ trưởng Bộ Lao động - Thương binh và Xã hội, trong phạm vi nhiệm vụ, quyền hạn của mình, quy định ngưỡng đầu vào trình độ cao đẳng, trình độ đại học thuộc ngành đào tạo giáo viên và ngành thuộc lĩnh vực sức khỏe",Yes,16.301282883065273
PqLFyODSMe,"Người trúng tuyển viên chức đã có thời gian từ đủ 12 tháng trở lên thực hiện chuyên môn, nghiệp vụ phù hợp với yêu cầu của vị trí việc làm được tuyển dụng không phải thực hiện chế độ tập sự","Chế độ tập sự

1. Người trúng tuyển viên chức phải thực hiện chế độ tập sự, trừ trường hợp đã có thời gian từ đủ 12 tháng trở lên thực hiện chuyên môn, nghiệp vụ phù hợp với yêu cầu của vị trí việc làm được tuyển dụng",Yes,17.371737951107765
ckQFn8y202,"Trong vòng 03 ngày làm việc, kể từ ngày người cai nghiện ma túy sử dụng dịch vụ hoặc tự ý chấm dứt việc sử dụng dịch vụ hoặc hoàn thành dịch vụ phải thông báo cho Ủy ban nhân dân cấp xã nơi người đó đăng ký cai nghiện ma túy tự nguyện tại gia đình, cộng đồng.","c) Trong thời hạn 05 ngày làm việc kể từ ngày người cai nghiện ma túy sử dụng dịch vụ hoặc tự ý chấm dứt việc sử dụng dịch vụ hoặc hoàn thành dịch vụ phải thông báo cho Ủy ban nhân dân cấp xã nơi người đó đăng ký cai nghiện ma túy tự nguyện tại gia đình, cộng đồng",No,50.157358964975394
O8JI0xlIS5,"Hợp đồng làm việc đối với trường hợp người được tuyển dụng là người trên 18 tuổi  có những nội dung chủ yếu sau: Tên, địa chỉ của đơn vị sự nghiệp công lập và người đứng đầu đơn vị sự nghiệp công lập, Họ tên, địa chỉ, ngày, tháng, năm sinh của người được tuyển dụng.","b) Họ tên, địa chỉ, ngày, tháng, năm sinh của người được tuyển dụng. 

Trường hợp người được tuyển dụng là người dưới 18 tuổi thì phải có họ tên, địa chỉ, ngày, tháng, năm sinh của người đại diện theo pháp luật của người được tuyển dụng",Yes,41.824079782557405
wIaqSKIotB,"Bộ Văn hóa, Thể thao và Du lịch và Ủy ban nhân dân có thẩm quyền cấp giấy phép phân loại phim khi đáp ứng các điều kiện theo quy định của Bộ trưởng Bộ Văn hóa, Thể thao và Du lịch","b) Ủy ban nhân dân cấp tỉnh được cấp Giấy phép phân loại phim khi đáp ứng các điều kiện theo quy định của Bộ trưởng Bộ Văn hóa, Thể thao và Du lịch",Yes,26.166042989850197
eDDeyyw6JY,Ngân sách nhà nước đóng giữ vai trò chủ đạo trong tổng nguồn lực đầu tư cho giáo dục.,3. Ngân sách nhà nước giữ vai trò chủ đạo trong tổng nguồn lực đầu tư cho giáo dục,Yes,10.949267029355392
31WyXImQt7,"Trách nhiệm của cơ quan Mặt Trận Tổ Quốc Việt Nam trong việc phòng, chống ma túy là phòng ngừa, và ngăn chặn người của tổ chức mình và mọi công dân vi phạm luật phòng, chống ma túy.","2. Phòng ngừa, ngăn chặn người của tổ chức mình và mọi công dân vi phạm pháp luật về phòng, chống ma túy",Yes,10.570554511781593
sqjV9Bb2WH,"Mục tiêu của giáo dục đại học là nhằm đào tạo ra nhân lực trình độ cao, nâng cao dân trí và bồi dưỡng nhân tài.","Mục tiêu của giáo dục đại học

1. Đào tạo nhân lực trình độ cao, nâng cao dân trí, bồi dưỡng nhân tài; nghiên cứu khoa học và công nghệ tạo ra tri thức, sản phẩm mới, phục vụ nhu cầu phát triển kinh tế - xã hội, bảo đảm quốc phòng, an ninh, hội nhập quốc tế",Yes,9.965196720931555
hqnWjRtgDK,Việc tuyển dụng viên chức chỉ được thực hiện thông qua thi tuyển,"Phương thức tuyển dụng

Việc tuyển dụng viên chức được thực hiện thông qua thi tuyển hoặc xét tuyển",No,2.1370668239275146
jnGYfFIs7N,"Thanh niên hoàn thành nghĩa vụ quân sự, nghĩa vụ tham gia Công an nhân dân được hưởng chính sách hỗ trợ đào tạo nghề theo quy định","3. Thanh niên hoàn thành nghĩa vụ quân sự, nghĩa vụ tham gia Công an nhân dân được hưởng chính sách hỗ trợ đào tạo nghề và các chính sách ưu đãi khác theo quy định của pháp luật",Yes,10.63560965966268
t9xUgIsTa6,Tiếng Anh được dùng chính thức trong cơ sở giáo dục.,"Ngôn ngữ, chữ viết dùng trong cơ sở giáo dục

1. Tiếng Việt là ngôn ngữ chính thức dùng trong cơ sở giáo dục. Căn cứ vào mục tiêu giáo dục và yêu cầu cụ thể về nội dung giáo dục, Chính phủ quy định việc dạy và học bằng tiếng nước ngoài trong cơ sở giáo dục",No,6.201692375984729
ESrSFegdnP,"Tổ chức thanh niên gồm Đoàn Thanh niên Cộng sản Hồ Chí Minh, Hội Liên hiệp Thanh niên Việt Nam, Hội Sinh viên Việt Nam và các tổ chức khác của thanh niên được thành lập, tổ chức và hoạt động theo quy định của pháp luật","Tổ chức thanh niên

1. Tổ chức thanh niên gồm Đoàn Thanh niên Cộng sản Hồ Chí Minh, Hội Liên hiệp Thanh niên Việt Nam, Hội Sinh viên Việt Nam và các tổ chức khác của thanh niên được thành lập, tổ chức và hoạt động theo quy định của pháp luật

2. Tổ chức thanh niên có vai trò đoàn kết, tập hợp thanh niên, đại diện chăm lo, bảo vệ quyền và lợi ích hợp pháp, chính đáng của thanh niên; phát huy vai trò của thanh niên trong sự nghiệp xây dựng và bảo vệ Tổ quốc",Yes,15.869860690689693
3lEnngVd8Z,Viên chức bị khiển trách thì thời hạn nâng lương bị kéo dài 03 tháng,"Đơn vị sự nghiệp công lập và cơ cấu tổ chức quản lý hoạt động của đơn vị sự nghiệp công lập

1. Đơn vị sự nghiệp công lập là tổ chức do cơ quan có thẩm quyền của Nhà nước, tổ chức chính trị, tổ chức chính trị - xã hội thành lập theo quy định của pháp luật, có tư cách pháp nhân, cung cấp dịch vụ công, phục vụ quản lý nhà nước",Yes,0.0
7yASh5EiMy,"Trách nhiệm của Bộ Công an trong việc phòng, chống ma túy là gì? Trả lời: Chỉ đạo lực lượng Bộ đội Biên phòng, Cảnh sát biển Việt Nam trong việc phòng chống ma túy.","Trách nhiệm của Bộ Công an

1. Ban hành theo thẩm quyền hoặc trình cơ quan nhà nước có thẩm quyền ban hành văn bản quy phạm pháp luật về phòng, chống ma túy",No,7.4501996807652295
XEJo5sXAMr,"Cơ quan, tổ chức, đơn vị quản lý viên chức ra quyết định nghỉ hưu đối với viên chức trong thời hạn 06 tháng tính đến ngày viên chức nghỉ hưu","2. Trước 06 tháng, tính đến ngày viên chức nghỉ hưu, cơ quan, tổ chức, đơn vị quản lý viên chức phải thông báo bằng văn bản về thời điểm nghỉ hưu; trước 03 tháng, tính đến ngày viên chức nghỉ hưu, cơ quan, tổ chức, đơn vị quản lý viên chức ra quyết định nghỉ hưu",No,21.775534935334964
HxZtqBzeEZ,Tháng 3 hằng năm là Tháng Thanh niên,"Tháng Thanh niên

1. Tháng 3 hằng năm là Tháng Thanh niên. Tháng Thanh niên được tổ chức nhằm phát huy tinh thần xung kích, tình nguyện, sáng tạo của thanh niên để tham gia hoạt động vì lợi ích của cộng đồng, xã hội và vận động tổ chức, cá nhân đầu tư, phát triển thanh niên",Yes,4.313850805719904
lQ9frTtrtV,"Đối với trường hợp người được tuyển dụng dưới 18 tuổi, hợp đồng lao động chỉ cần ghi họ tên, địa chỉ, ngày, tháng, năm sinh của người đại diện theo pháp luật của người được tuyển dụng","b) Họ tên, địa chỉ, ngày, tháng, năm sinh của người được tuyển dụng. 

Trường hợp người được tuyển dụng là người dưới 18 tuổi thì phải có họ tên, địa chỉ, ngày, tháng, năm sinh của người đại diện theo pháp luật của người được tuyển dụng",No,39.21987846690838
EQqD60Y271,"Cán bộ quản lý giáo dục là người giữ vai trò quan trọng trong việc quản lý, tổ chức, và điều hành các hoạt động giáo dục.","Vai trò và trách nhiệm của cán bộ quản lý giáo dục

1. Cán bộ quản lý giáo dục giữ vai trò quan trọng trong việc tổ chức, quản lý, điều hành các hoạt động giáo dục",Yes,9.558558119992203
H6PxIjmdgH,"Nền giáo dục Việt Nam là nền giáo dục xã hội chủ nghĩa có tính nhân dân, và dân tộc, mang tính khoa học, hiện đại.","Tính chất, nguyên lý giáo dục

1. Nền giáo dục Việt Nam là nền giáo dục xã hội chủ nghĩa có tính nhân dân, dân tộc, khoa học, hiện đại, lấy chủ nghĩa Mác - Lê nin và tư tưởng Hồ Chí Minh làm nền tảng",Yes,10.02693486423384
GE9biFGIt1,"Doanh nghiệp, tổ chức được yêu cầu phải ưu tiên tuyển dụng thanh niên là người dân tộc thiểu số","4. Khuyến khích doanh nghiệp, tổ chức ưu tiên tuyển dụng thanh niên là người dân tộc thiểu số",No,5.005431994557233
smWUCz4HtS,"Bộ Nội Vụ là cơ quan nào chủ trì, phối hợp với các bộ, cơ quan ngang bộ có liên quan quy định hệ thống danh mục, tiêu chuẩn và mã số chức danh nghề nghiệp","2. Bộ Nội vụ chủ trì, phối hợp với các bộ, cơ quan ngang bộ có liên quan quy định hệ thống danh mục, tiêu chuẩn và mã số chức danh nghề nghiệp",Yes,14.270088922397301
vawQxejhbP,Cơ sở cai nghiện ma túy không có trách nhiệm cấp giấy xác nhận hoàn thành cai nghiện ma túy tự nguyện cho người cai nghiện ma túy.,4. Cơ sở cai nghiện ma túy có trách nhiệm cấp giấy xác nhận hoàn thành cai nghiện ma túy tự nguyện cho người cai nghiện ma túy,No,14.101067476167216
0MwITLtbmg,"Viên chức thuộc một đơn vị sự nghiệp công lập hiện tại không được tham gia hợp đồng vụ, việc với các đơn vị, cơ quan, tổ chức khác","2. Được ký hợp đồng vụ, việc với cơ quan, tổ chức, đơn vị khác mà pháp luật không cấm nhưng phải hoàn thành nhiệm vụ được giao và có sự đồng ý của người đứng đầu đơn vị sự nghiệp công lập",No,10.284639572086766
6T9RLlCXIy,"Đơn vị sự nghiệp có quyền đơn phương chấm dứt hợp đồng đối với viên chức khi viên chức ốm đau hoặc bị tai nạn, đang điều trị bệnh nghề nghiệp theo quyết định của cơ sở chữa bệnh","3. Người đứng đầu đơn vị sự nghiệp công lập không được đơn phương chấm dứt hợp đồng làm việc với viên chức trong các trường hợp sau:

a) Viên chức ốm đau hoặc bị tai nạn, đang điều trị bệnh nghề nghiệp theo quyết định của cơ sở chữa bệnh, trừ trường hợp quy định tại điểm c khoản 1 Điều này",No,22.797229862620306
ZBC6orkgch,Có bao nhiêu trình độ đào tạo giáo dục đại học? Trả lời: 02 trình độ đào tạo giáo dục đại học,"Các trình độ đào tạo giáo dục đại học

Giáo dục đại học đào tạo trình độ đại học, trình độ thạc sĩ, trình độ tiến sĩ",No,3.6489544254706403
OU3MJaS8Si,"Đơn vị sự nghiệp công lập không thể ký hợp đồng vụ, việc với người hưởng chế độ hưu trí, kể cả trường hợp đơn vị có nhu cầu và người hưởng chế độ hưu trí có nguyện vọng","3. Đơn vị sự nghiệp công lập có thể ký hợp đồng vụ, việc với người hưởng chế độ hưu trí nếu đơn vị có nhu cầu và người hưởng chế độ hưu trí có nguyện vọng; trong thời gian hợp đồng, ngoài khoản thù lao theo hợp đồng, người đó được hưởng một số chế độ, chính sách cụ thể về cơ chế quản lý bảo đảm điều kiện cho hoạt động chuyên môn do Chính phủ quy định",No,19.258741877684134
XsfBrLUkvw,"Trách nhiệm của Bộ Y tế trong việc phòng, chống ma túy là gì? Trả lời: Tổ chức công tác giám định chất ma túy và tiền chất","Trách nhiệm của Bộ Y tế

1. Ban hành theo thẩm quyền hoặc trình cơ quan nhà nước có thẩm quyền ban hành văn bản quy phạm pháp luật về phòng, chống ma túy",No,6.314157152795839
Q7hGQ5owqU,"Cơ quan Hải quan có trách nhiệm trong việc kiểm soát hoạt động quá cảnh lãnh thổ Việt Nam chất ma túy, tiền chất, thuốc gây nghiện.","2. Hoạt động quá cảnh lãnh thổ Việt Nam chất ma túy, tiền chất, thuốc gây nghiện, thuốc hướng thần, thuốc tiền chất, nguyên liệu làm thuốc là dược chất gây nghiện, dược chất hướng thần, tiền chất dùng làm thuốc phải theo đúng hành trình đã ghi trong giấy phép quá cảnh. Cơ quan, tổ chức thực hiện việc quá cảnh phải làm thủ tục, chịu sự kiểm soát của cơ quan Hải quan và cơ quan có thẩm quyền của Việt Nam",Yes,11.86749395310968
xcuMZRBDKw,"Đoàn Thanh niên Cộng sản Hồ Chí Minh là tổ chức chính trị-xã hội của thanh niên Việt Nam, giữ vai trò nòng cốt trong phong trào thanh niên và tổ chức thanh niên; tổ chức hướng dẫn hoạt động của thiếu niên, nhi đồng, phụ trách Đội Thiếu niên tiền phong Hồ Chí Minh","Đoàn Thanh niên Cộng sản Hồ Chí Minh

1. Đoàn Thanh niên Cộng sản Hồ Chí Minh là tổ chức chính trị-xã hội của thanh niên Việt Nam, giữ vai trò nòng cốt trong phong trào thanh niên và tổ chức thanh niên; tổ chức hướng dẫn hoạt động của thiếu niên, nhi đồng, phụ trách Đội Thiếu niên tiền phong Hồ Chí Minh",Yes,21.888925264407547
InehZtAZn9,"Viên chức bị kỷ luật từ khiển trách đến cách chức thì không thực hiện việc quy hoạch, đào tạo, bồi dưỡng, bổ nhiệm trong thời hạn 12 tháng, kể từ ngày quyết định kỷ luật có hiệu lực","2. Viên chức bị kỷ luật từ khiển trách đến cách chức thì không thực hiện việc quy hoạch, đào tạo, bồi dưỡng, bổ nhiệm trong thời hạn 12 tháng, kể từ ngày quyết định kỷ luật có hiệu lực",Yes,26.003829084937614
7eoNvR742A,"Chủ sở hữu phim có nghĩa vụ mở mã khóa phim để đối chiếu, kiểm tra khi có yêu cầu của cơ quan nhà nước có thẩm quyền","Quyền và trách nhiệm của Cơ sở lưu trữ phim

1. Lưu trữ, cung cấp bản sao, in trích tư liệu cho chủ sở hữu phim và Cơ quan nhà nước có thẩm quyền theo quy định của pháp luật",Yes,9.603399029263368
fjoqioXeO1,"Trách nhiệm của Bộ Quốc phòng trong việc phòng, chống ma túy là gì? Trả lời: Thực hiện hợp tác quốc tế về cai nghiện ma túy","Trách nhiệm của Bộ Quốc phòng

1. Ban hành theo thẩm quyền hoặc trình cơ quan nhà nước có thẩm quyền ban hành văn bản quy phạm pháp luật về phòng, chống ma túy",No,6.273882647403917
